"","Family_plot","Bossiella exarticulata","Bossiella mayae","Chiharaea americana","Corsp23BC","Crusticorallina muricata","Crusticorallina painei","Lithophyllum impressum","Lithophyllum sp4","Peyssonnelia sp10BC"
"1","Alteromonadaceae",NA,NA,NA,0.3,NA,NA,0.625,1.6,NA
"2","Arenicellaceae",5.84285714285714,7.56666666666667,14.5,5.05,11.1444444444444,3.04,13.075,5.66666666666667,0.46
"3","Crocinitomicaceae",0.471428571428571,0.366666666666667,0.9,0.4,NA,NA,0.625,0.333333333333333,0.64
"4","Flavobacteriaceae",21.2857142857143,34.0333333333333,15.65,18.7,25.3777777777778,19.68,47.025,46.5666666666667,17.12
"5","Granulosicoccaceae",6.2,2.8,3.8,4.5,14.8333333333333,8.42,2.125,3.5,6.44
"6","Hyphomonadaceae",6.27142857142857,2.5,4.8,6.7,9.43333333333333,11.82,6.85,1.46666666666667,6.82
"7","Phormidesmiaceae",1.97142857142857,NA,8.3,5.9,1.51111111111111,0.14,0.15,7.2,0.88
"8","Pirellulaceae",0.228571428571429,NA,NA,2.95,0.344444444444444,NA,NA,0.9,3.54
"9","Rare Family",17.9428571428571,13.6,22.6,27.1,10.4111111111111,8.32,9.15,13.5333333333333,18.2
"10","Rhizobiaceae",NA,NA,NA,1.15,0.111111111111111,0.1,NA,NA,0.26
"11","Rhodobacteraceae",5.22857142857143,5.06666666666667,6.1,5.3,9.23333333333333,6.54,5.225,1.76666666666667,0.4
"12","Rubritaleaceae",1.15714285714286,0.466666666666667,0.4,2.65,0.966666666666667,0.72,6.9,10.4,0.96
"13","Saprospiraceae",25.5,32.2333333333333,18.8,12.6,12.1,34.58,7.65,5.26666666666667,41.46
"14","Thiotrichaceae",7.9,1.36666666666667,4.15,6.7,4.53333333333333,6.64,0.6,1.8,2.82
